2025-04-09 02:39:39,247 p=42009 u=root n=ansible | Encryption successful
2025-04-09 03:13:55,226 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:13:55,235 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:13:55,268 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:13:55,289 p=47510 u=root n=ansible | TASK [splunk : Check if Splunk is installed] *********************************************************************************************************
2025-04-09 03:13:55,794 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:13:55,799 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:13:55,812 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:13:55,813 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:55,835 p=47510 u=root n=ansible | TASK [splunk : Check if active boot-start configuration is systemd] **********************************************************************************
2025-04-09 03:13:56,209 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:56,223 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:13:56,278 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:13:56,292 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:13:56,313 p=47510 u=root n=ansible | TASK [Set current_start_method var to systemd if systemd is being used for splunk] *******************************************************************
2025-04-09 03:13:56,381 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:56,427 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:13:56,433 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:13:56,466 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:13:56,487 p=47510 u=root n=ansible | TASK [splunk : Check if active boot-start method is init.d] ******************************************************************************************
2025-04-09 03:13:56,831 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:56,849 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:13:56,888 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:13:56,928 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:13:56,949 p=47510 u=root n=ansible | TASK [Set current_start_method to initd if initd is being used for splunk] ***************************************************************************
2025-04-09 03:13:57,017 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:13:57,050 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:13:57,063 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:13:57,096 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:13:57,118 p=47510 u=root n=ansible | TASK [splunk : set current_start_method to disabled if boot-start is disabled] ***********************************************************************
2025-04-09 03:13:57,185 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:13:57,219 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:13:57,233 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:13:57,310 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:13:57,358 p=47510 u=root n=ansible | TASK [splunk : Set boot-start misconfigured var] *****************************************************************************************************
2025-04-09 03:13:57,427 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:13:57,458 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:13:57,469 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:13:57,503 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:13:57,524 p=47510 u=root n=ansible | TASK [splunk : Fail the play if the currently configured boot-start method does match the expected state or boot-start is not enabled] ***************
2025-04-09 03:13:57,593 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:13:57,625 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:13:57,638 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:13:57,673 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:13:57,694 p=47510 u=root n=ansible | TASK [splunk : Include the specified task file] ******************************************************************************************************
2025-04-09 03:13:57,947 p=47510 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 03:13:57,981 p=47510 u=root n=ansible | TASK [splunk : ansible.builtin.include_tasks] ********************************************************************************************************
2025-04-09 03:13:58,198 p=47510 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 03:13:58,234 p=47510 u=root n=ansible | TASK [Stop splunk] ***********************************************************************************************************************************
2025-04-09 03:14:07,298 p=47510 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:14:08,575 p=47510 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:14:09,877 p=47510 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:14:10,000 p=47510 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:14:10,021 p=47510 u=root n=ansible | TASK [splunk : Disable boot-start] *******************************************************************************************************************
2025-04-09 03:14:10,812 p=47510 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:14:10,814 p=47510 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:14:10,838 p=47510 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:14:10,862 p=47510 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:14:10,884 p=47510 u=root n=ansible | TASK [Remove splunk folder] **************************************************************************************************************************
2025-04-09 03:14:15,631 p=47510 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:14:15,865 p=47510 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:14:16,001 p=47510 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:14:16,136 p=47510 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:14:16,166 p=47510 u=root n=ansible | TASK [Remove splunk service drop-in directory] *******************************************************************************************************
2025-04-09 03:14:16,506 p=47510 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:14:16,522 p=47510 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:14:16,570 p=47510 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:14:16,598 p=47510 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:14:16,630 p=47510 u=root n=ansible | TASK [Remove nix splunk user] ************************************************************************************************************************
2025-04-09 03:14:17,302 p=47510 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:14:17,305 p=47510 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:14:17,328 p=47510 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:14:17,397 p=47510 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:14:17,417 p=47510 u=root n=ansible | TASK [Remove nix splunk group] ***********************************************************************************************************************
2025-04-09 03:14:17,850 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:14:17,865 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:14:17,866 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:14:17,870 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:14:17,891 p=47510 u=root n=ansible | TASK [splunk : Remove disable-thp service to systemd (CentOS/RHEL 7+)] *******************************************************************************
2025-04-09 03:14:18,228 p=47510 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:14:18,255 p=47510 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:14:18,294 p=47510 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:14:18,331 p=47510 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:14:18,353 p=47510 u=root n=ansible | TASK [splunk : Remove ulimits] ***********************************************************************************************************************
2025-04-09 03:14:18,390 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:14:18,423 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:14:18,454 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:14:18,464 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:14:18,485 p=47510 u=root n=ansible | TASK [Remove splunk firewalld service] ***************************************************************************************************************
2025-04-09 03:14:18,522 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:14:18,553 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:14:18,584 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:14:18,603 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:14:18,626 p=47510 u=root n=ansible | TASK [splunk : Remove firewalld service] *************************************************************************************************************
2025-04-09 03:14:18,694 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:14:18,725 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:14:18,727 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:14:18,743 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:14:18,764 p=47510 u=root n=ansible | TASK [splunk : Remove UFW ports] *********************************************************************************************************************
2025-04-09 03:14:18,835 p=47510 u=root n=ansible | skipping: [rh8-ds-1] => (item={'desc': 'Splunk Web', 'protocol': 'tcp', 'number': 8000}) 
2025-04-09 03:14:18,836 p=47510 u=root n=ansible | skipping: [rh8-ds-1] => (item={'desc': 'Splunk API', 'protocol': 'tcp', 'number': 8089}) 
2025-04-09 03:14:18,871 p=47510 u=root n=ansible | skipping: [rh8-sh-1] => (item={'desc': 'Splunk Web', 'protocol': 'tcp', 'number': 8000}) 
2025-04-09 03:14:18,873 p=47510 u=root n=ansible | skipping: [rh8-sh-1] => (item={'desc': 'Splunk API', 'protocol': 'tcp', 'number': 8089}) 
2025-04-09 03:14:18,874 p=47510 u=root n=ansible | skipping: [rh8-sh-1] => (item={'desc': 'Splunk Search Head Clustering Replication', 'protocol': 'tcp', 'number': 8100}) 
2025-04-09 03:14:18,877 p=47510 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk Web', 'protocol': 'tcp', 'number': 8000}) 
2025-04-09 03:14:18,883 p=47510 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk API', 'protocol': 'tcp', 'number': 8089}) 
2025-04-09 03:14:18,891 p=47510 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk TCPIN', 'protocol': 'tcp', 'number': 9997}) 
2025-04-09 03:14:18,901 p=47510 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk HEC', 'protocol': 'tcp', 'number': 8088}) 
2025-04-09 03:14:18,908 p=47510 u=root n=ansible | skipping: [rh8-idx-2] => (item={'desc': 'Splunk Web', 'protocol': 'tcp', 'number': 8000}) 
2025-04-09 03:14:18,910 p=47510 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk Indexer Clustering Replication', 'protocol': 'tcp', 'number': 9887}) 
2025-04-09 03:14:18,917 p=47510 u=root n=ansible | skipping: [rh8-idx-2] => (item={'desc': 'Splunk API', 'protocol': 'tcp', 'number': 8089}) 
2025-04-09 03:14:18,927 p=47510 u=root n=ansible | skipping: [rh8-idx-2] => (item={'desc': 'Splunk TCPIN', 'protocol': 'tcp', 'number': 9997}) 
2025-04-09 03:14:18,943 p=47510 u=root n=ansible | skipping: [rh8-idx-2] => (item={'desc': 'Splunk HEC', 'protocol': 'tcp', 'number': 8088}) 
2025-04-09 03:14:18,945 p=47510 u=root n=ansible | skipping: [rh8-idx-2] => (item={'desc': 'Splunk Indexer Clustering Replication', 'protocol': 'tcp', 'number': 9887}) 
2025-04-09 03:14:18,966 p=47510 u=root n=ansible | TASK [splunk : Remove setfacl to logrotate script] ***************************************************************************************************
2025-04-09 03:14:19,440 p=47510 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:14:19,449 p=47510 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:14:19,452 p=47510 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:14:19,464 p=47510 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:14:19,486 p=47510 u=root n=ansible | TASK [splunk : Check if auditd.conf is present] ******************************************************************************************************
2025-04-09 03:14:19,846 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:14:19,850 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:14:19,891 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:14:19,924 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:14:19,946 p=47510 u=root n=ansible | TASK [splunk : Remove line from /var/log/audit.log] **************************************************************************************************
2025-04-09 03:14:20,420 p=47510 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:14:20,425 p=47510 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:14:20,430 p=47510 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:14:20,435 p=47510 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:14:20,436 p=47510 u=root n=ansible | RUNNING HANDLER [splunk : reload systemctl daemon] ***************************************************************************************************
2025-04-09 03:14:21,525 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:14:21,565 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:14:21,567 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:14:21,646 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:14:21,646 p=47510 u=root n=ansible | RUNNING HANDLER [splunk : restart redhat auditd service] *********************************************************************************************
2025-04-09 03:14:23,242 p=47510 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:14:23,256 p=47510 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:14:23,268 p=47510 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:14:23,270 p=47510 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:14:23,271 p=47510 u=root n=ansible | RUNNING HANDLER [splunk : restart non-redhat auditd service] *****************************************************************************************
2025-04-09 03:14:23,384 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:14:23,385 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:14:23,386 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:14:23,400 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:14:23,403 p=47510 u=root n=ansible | PLAY RECAP *******************************************************************************************************************************************
2025-04-09 03:14:23,403 p=47510 u=root n=ansible | rh8-ds-1                   : ok=27   changed=9    unreachable=0    failed=0    skipped=14   rescued=0    ignored=0   
2025-04-09 03:14:23,404 p=47510 u=root n=ansible | rh8-idx-1                  : ok=24   changed=9    unreachable=0    failed=0    skipped=14   rescued=0    ignored=0   
2025-04-09 03:14:23,404 p=47510 u=root n=ansible | rh8-idx-2                  : ok=24   changed=9    unreachable=0    failed=0    skipped=14   rescued=0    ignored=0   
2025-04-09 03:14:23,404 p=47510 u=root n=ansible | rh8-sh-1                   : ok=24   changed=9    unreachable=0    failed=0    skipped=14   rescued=0    ignored=0   
2025-04-09 03:29:17,543 p=50061 u=root n=ansible | PLAY [Splunk Installation or Upgrade Playbook] *******************************************************************************************************
